season,match_date,home_team,away_team,competition,venue,home_score,away_score
1994-1995,Sunday 5 March 1995,Arsenal,West Ham,Premier League,"Highbury, London",0,1
1994-1995,Sunday 5 March 1995,Chelsea,Crystal Palace,Premier League,"Stamford Bridge, London",0,0
1994-1995,Saturday 4 March 1995,Aston Villa,Blackburn,Premier League,"Villa Park, Birmingham",0,1
1994-1995,Saturday 4 March 1995,Leeds,Sheffield Wed,Premier League,"Elland Road, Leeds",0,1
1994-1995,Saturday 4 March 1995,Leicester,Everton,Premier League,"Filbert Street, Leicester",2,2
1994-1995,Saturday 4 March 1995,Liverpool,Newcastle,Premier League,"Anfield, Liverpool",2,0
1994-1995,Saturday 4 March 1995,Man Utd,Ipswich,Premier League,"Old Trafford, Manchester",9,0
1994-1995,Saturday 4 March 1995,Norwich,Man City,Premier League,"Carrow Road, Norwich",1,1
1994-1995,Saturday 4 March 1995,Nott'm Forest,Spurs,Premier League,"City Ground, Nottingham",2,2
1994-1995,Saturday 4 March 1995,Southampton,Coventry,Premier League,"The Dell, Southampton",0,0
1994-1995,Saturday 4 March 1995,Wimbledon,QPR,Premier League,"Selhurst Park, London",1,3
1994-1995,Tuesday 28 February 1995,Ipswich,Newcastle,Premier League,"Portman Road, Ipswich",0,2
1994-1995,Sunday 26 February 1995,QPR,Nott'm Forest,Premier League,"Loftus Road, London",1,1
1994-1995,Saturday 25 February 1995,Blackburn,Norwich,Premier League,"Ewood Park, Blackburn",0,0
1994-1995,Saturday 25 February 1995,Coventry,Leicester,Premier League,"Highfield Road, Coventry",4,2
1994-1995,Saturday 25 February 1995,Crystal Palace,Arsenal,Premier League,"Selhurst Park, London",0,3
1994-1995,Saturday 25 February 1995,Everton,Man Utd,Premier League,"Goodison Park, Liverpool",1,0
1994-1995,Saturday 25 February 1995,Ipswich,Southampton,Premier League,"Portman Road, Ipswich",2,1
1994-1995,Saturday 25 February 1995,Man City,Leeds,Premier League,"Maine Road, Manchester",0,0
1994-1995,Saturday 25 February 1995,Newcastle,Aston Villa,Premier League,"St. James' Park, Newcastle",3,1
1994-1995,Saturday 25 February 1995,Sheffield Wed,Liverpool,Premier League,"Hillsborough, Sheffield",1,2
1994-1995,Saturday 25 February 1995,Spurs,Wimbledon,Premier League,"White Hart Lane, London",1,2
1994-1995,Saturday 25 February 1995,West Ham,Chelsea,Premier League,"Boleyn Ground, London",1,2
1994-1995,Wednesday 22 February 1995,Aston Villa,Leicester,Premier League,"Villa Park, Birmingham",4,4
1994-1995,Wednesday 22 February 1995,Blackburn,Wimbledon,Premier League,"Ewood Park, Blackburn",2,1
1994-1995,Wednesday 22 February 1995,Leeds,Everton,Premier League,"Elland Road, Leeds",1,0
1994-1995,Wednesday 22 February 1995,Man City,Ipswich,Premier League,"Maine Road, Manchester",2,0
1994-1995,Wednesday 22 February 1995,Norwich,Man Utd,Premier League,"Carrow Road, Norwich",0,2
1994-1995,Tuesday 21 February 1995,Arsenal,Nott'm Forest,Premier League,"Highbury, London",1,0
1994-1995,Saturday 18 February 1995,Coventry,West Ham,Premier League,"Highfield Road, Coventry",2,0
1994-1995,Saturday 18 February 1995,Sheffield Wed,Aston Villa,Premier League,"Hillsborough, Sheffield",1,2
1994-1995,Monday 13 February 1995,West Ham,Everton,Premier League,"Boleyn Ground, London",2,2
1994-1995,Sunday 12 February 1995,Blackburn,Sheffield Wed,Premier League,"Ewood Park, Blackburn",3,1
1994-1995,Saturday 11 February 1995,Arsenal,Leicester,Premier League,"Highbury, London",1,1
1994-1995,Saturday 11 February 1995,Aston Villa,Wimbledon,Premier League,"Villa Park, Birmingham",7,1
1994-1995,Saturday 11 February 1995,Chelsea,Spurs,Premier League,"Stamford Bridge, London",1,1
1994-1995,Saturday 11 February 1995,Crystal Palace,Coventry,Premier League,"Selhurst Park, London",0,2
1994-1995,Saturday 11 February 1995,Liverpool,QPR,Premier League,"Anfield, Liverpool",1,1
1994-1995,Saturday 11 February 1995,Man City,Man Utd,Premier League,"Maine Road, Manchester",0,3
1994-1995,Saturday 11 February 1995,Newcastle,Nott'm Forest,Premier League,"St. James' Park, Newcastle",2,1
1994-1995,Saturday 11 February 1995,Norwich,Southampton,Premier League,"Carrow Road, Norwich",2,2
1994-1995,Sunday 5 February 1995,Spurs,Blackburn,Premier League,"White Hart Lane, London",3,1
1994-1995,Saturday 4 February 1995,Coventry,Chelsea,Premier League,"Highfield Road, Coventry",2,2
1994-1995,Saturday 4 February 1995,Everton,Norwich,Premier League,"Goodison Park, Liverpool",2,1
1994-1995,Saturday 4 February 1995,Ipswich,Crystal Palace,Premier League,"Portman Road, Ipswich",0,2
1994-1995,Saturday 4 February 1995,Leicester,West Ham,Premier League,"Filbert Street, Leicester",1,2
1994-1995,Saturday 4 February 1995,Man Utd,Aston Villa,Premier League,"Old Trafford, Manchester",1,0
1994-1995,Saturday 4 February 1995,Nott'm Forest,Liverpool,Premier League,"City Ground, Nottingham",1,1
1994-1995,Saturday 4 February 1995,QPR,Newcastle,Premier League,"Loftus Road, London",3,0
1994-1995,Saturday 4 February 1995,Sheffield Wed,Arsenal,Premier League,"Hillsborough, Sheffield",3,1
1994-1995,Saturday 4 February 1995,Southampton,Man City,Premier League,"The Dell, Southampton",2,2
1994-1995,Saturday 4 February 1995,Wimbledon,Leeds,Premier League,"Selhurst Park, London",0,0
1994-1995,Wednesday 1 February 1995,Blackburn,Leeds,Premier League,"Ewood Park, Blackburn",1,1
1994-1995,Wednesday 1 February 1995,Newcastle,Everton,Premier League,"St. James' Park, Newcastle",2,0
1994-1995,Saturday 28 January 1995,Blackburn,Ipswich,Premier League,"Ewood Park, Blackburn",4,1
1994-1995,Wednesday 25 January 1995,Aston Villa,Spurs,Premier League,"Villa Park, Birmingham",1,0
1994-1995,Wednesday 25 January 1995,Chelsea,Nott'm Forest,Premier League,"Stamford Bridge, London",0,2
1994-1995,Wednesday 25 January 1995,Crystal Palace,Man Utd,Premier League,"Selhurst Park, London",1,1
1994-1995,Wednesday 25 January 1995,Man City,Leicester,Premier League,"Maine Road, Manchester",0,1
1994-1995,Wednesday 25 January 1995,Newcastle,Wimbledon,Premier League,"St. James' Park, Newcastle",2,1
1994-1995,Wednesday 25 January 1995,Norwich,Coventry,Premier League,"Carrow Road, Norwich",2,2
1994-1995,Tuesday 24 January 1995,Arsenal,Southampton,Premier League,"Highbury, London",1,1
1994-1995,Tuesday 24 January 1995,Leeds,QPR,Premier League,"Elland Road, Leeds",4,0
1994-1995,Tuesday 24 January 1995,Liverpool,Everton,Premier League,"Anfield, Liverpool",0,0
1994-1995,Monday 23 January 1995,West Ham,Sheffield Wed,Premier League,"Boleyn Ground, London",0,2
1994-1995,Sunday 22 January 1995,Man Utd,Blackburn,Premier League,"Old Trafford, Manchester",1,0
1994-1995,Saturday 21 January 1995,Coventry,Arsenal,Premier League,"Highfield Road, Coventry",0,1
1994-1995,Saturday 21 January 1995,Everton,Crystal Palace,Premier League,"Goodison Park, Liverpool",3,1
1994-1995,Saturday 21 January 1995,Ipswich,Chelsea,Premier League,"Portman Road, Ipswich",2,2
1994-1995,Saturday 21 January 1995,Nott'm Forest,Aston Villa,Premier League,"City Ground, Nottingham",1,2
1994-1995,Saturday 21 January 1995,Sheffield Wed,Newcastle,Premier League,"Hillsborough, Sheffield",0,0
1994-1995,Sunday 15 January 1995,Newcastle,Man Utd,Premier League,"St. James' Park, Newcastle",1,1
1994-1995,Saturday 14 January 1995,Arsenal,Everton,Premier League,"Highbury, London",1,1
1994-1995,Saturday 14 January 1995,Aston Villa,QPR,Premier League,"Villa Park, Birmingham",2,1
1994-1995,Saturday 14 January 1995,Blackburn,Nott'm Forest,Premier League,"Ewood Park, Blackburn",3,0
1994-1995,Saturday 14 January 1995,Chelsea,Sheffield Wed,Premier League,"Stamford Bridge, London",1,1
1994-1995,Saturday 14 January 1995,Crystal Palace,Leicester,Premier League,"Selhurst Park, London",2,0
1994-1995,Saturday 14 January 1995,Leeds,Southampton,Premier League,"Elland Road, Leeds",0,0
1994-1995,Saturday 14 January 1995,Liverpool,Ipswich,Premier League,"Anfield, Liverpool",0,1
1994-1995,Saturday 14 January 1995,Man City,Coventry,Premier League,"Maine Road, Manchester",0,0
1994-1995,Saturday 14 January 1995,Norwich,Wimbledon,Premier League,"Carrow Road, Norwich",1,2
1994-1995,Saturday 14 January 1995,West Ham,Spurs,Premier League,"Boleyn Ground, London",1,2
1994-1995,Tuesday 3 January 1995,Man Utd,Coventry,Premier League,"Old Trafford, Manchester",2,0
1994-1995,Monday 2 January 1995,Aston Villa,Leeds,Premier League,"Villa Park, Birmingham",0,0
1994-1995,Monday 2 January 1995,Blackburn,West Ham,Premier League,"Ewood Park, Blackburn",4,2
1994-1995,Monday 2 January 1995,Ipswich,Leicester,Premier League,"Portman Road, Ipswich",4,1
1994-1995,Monday 2 January 1995,Liverpool,Norwich,Premier League,"Anfield, Liverpool",4,0
1994-1995,Monday 2 January 1995,Newcastle,Man City,Premier League,"St. James' Park, Newcastle",0,0
1994-1995,Monday 2 January 1995,Nott'm Forest,Crystal Palace,Premier League,"City Ground, Nottingham",1,0
1994-1995,Monday 2 January 1995,Spurs,Arsenal,Premier League,"White Hart Lane, London",1,0
1994-1995,Monday 2 January 1995,Sheffield Wed,Southampton,Premier League,"Hillsborough, Sheffield",1,1
1994-1995,Monday 2 January 1995,Wimbledon,Everton,Premier League,"Selhurst Park, London",2,1
1994-1995,Saturday 31 December 1994,Norwich,Newcastle,Premier League,"Carrow Road, Norwich",2,1
1994-1995,Saturday 31 December 1994,Arsenal,QPR,Premier League,"Highbury, London",1,3
1994-1995,Saturday 31 December 1994,Chelsea,Wimbledon,Premier League,"Stamford Bridge, London",1,1
1994-1995,Saturday 31 December 1994,Coventry,Spurs,Premier League,"Highfield Road, Coventry",0,4
1994-1995,Saturday 31 December 1994,Crystal Palace,Blackburn,Premier League,"Selhurst Park, London",0,1
1994-1995,Saturday 31 December 1994,Everton,Ipswich,Premier League,"Goodison Park, Liverpool",4,1
1994-1995,Saturday 31 December 1994,Leeds,Liverpool,Premier League,"Elland Road, Leeds",0,2
1994-1995,Saturday 31 December 1994,Leicester,Sheffield Wed,Premier League,"Filbert Street, Leicester",0,1
1994-1995,Saturday 31 December 1994,Man City,Aston Villa,Premier League,"Maine Road, Manchester",2,2
1994-1995,Saturday 31 December 1994,Southampton,Man Utd,Premier League,"The Dell, Southampton",2,2
1994-1995,Saturday 31 December 1994,West Ham,Nott'm Forest,Premier League,"Boleyn Ground, London",3,1
1994-1995,Wednesday 28 December 1994,Aston Villa,Chelsea,Premier League,"Villa Park, Birmingham",3,0
1994-1995,Wednesday 28 December 1994,Ipswich,Arsenal,Premier League,"Portman Road, Ipswich",0,2
1994-1995,Wednesday 28 December 1994,Liverpool,Man City,Premier League,"Anfield, Liverpool",2,0
1994-1995,Wednesday 28 December 1994,QPR,Southampton,Premier League,"Loftus Road, London",2,2
1994-1995,Wednesday 28 December 1994,Sheffield Wed,Coventry,Premier League,"Hillsborough, Sheffield",5,1
1994-1995,Wednesday 28 December 1994,Wimbledon,West Ham,Premier League,"Selhurst Park, London",1,0
1994-1995,Wednesday 28 December 1994,Man Utd,Leicester,Premier League,"Old Trafford, Manchester",1,1
1994-1995,Tuesday 27 December 1994,Spurs,Crystal Palace,Premier League,"White Hart Lane, London",0,0
1994-1995,Tuesday 27 December 1994,Nott'm Forest,Norwich,Premier League,"City Ground, Nottingham",1,0
1994-1995,Monday 26 December 1994,Leicester,Liverpool,Premier League,"Filbert Street, Leicester",1,2
1994-1995,Monday 26 December 1994,Arsenal,Aston Villa,Premier League,"Highbury, London",0,0
1994-1995,Monday 26 December 1994,Chelsea,Man Utd,Premier League,"Stamford Bridge, London",2,3
1994-1995,Monday 26 December 1994,Coventry,Nott'm Forest,Premier League,"Highfield Road, Coventry",0,0
1994-1995,Monday 26 December 1994,Crystal Palace,QPR,Premier League,"Selhurst Park, London",0,0
1994-1995,Monday 26 December 1994,Leeds,Newcastle,Premier League,"Elland Road, Leeds",0,0
1994-1995,Monday 26 December 1994,Southampton,Wimbledon,Premier League,"The Dell, Southampton",2,3
1994-1995,Monday 26 December 1994,West Ham,Ipswich,Premier League,"Boleyn Ground, London",1,1
1994-1995,Monday 26 December 1994,Everton,Sheffield Wed,Premier League,"Goodison Park, Liverpool",1,4
1994-1995,Monday 26 December 1994,Norwich,Spurs,Premier League,"Carrow Road, Norwich",0,2
1994-1995,Monday 26 December 1994,Man City,Blackburn,Premier League,"Maine Road, Manchester",1,3
1994-1995,Monday 19 December 1994,Southampton,Aston Villa,Premier League,"The Dell, Southampton",2,1
1994-1995,Sunday 18 December 1994,Chelsea,Liverpool,Premier League,"Stamford Bridge, London",0,0
1994-1995,Saturday 17 December 1994,Arsenal,Leeds,Premier League,"Highbury, London",1,3
1994-1995,Saturday 17 December 1994,Coventry,Newcastle,Premier League,"Highfield Road, Coventry",0,0
1994-1995,Saturday 17 December 1994,Crystal Palace,Norwich,Premier League,"Selhurst Park, London",0,1
1994-1995,Saturday 17 December 1994,Everton,Spurs,Premier League,"Goodison Park, Liverpool",0,0
1994-1995,Saturday 17 December 1994,Leicester,Blackburn,Premier League,"Filbert Street, Leicester",0,0
1994-1995,Saturday 17 December 1994,Man Utd,Nott'm Forest,Premier League,"Old Trafford, Manchester",1,2
1994-1995,Saturday 17 December 1994,Sheffield Wed,QPR,Premier League,"Hillsborough, Sheffield",0,2
1994-1995,Saturday 17 December 1994,West Ham,Man City,Premier League,"Boleyn Ground, London",3,0
1994-1995,Friday 16 December 1994,Ipswich,Wimbledon,Premier League,"Portman Road, Ipswich",2,2
1994-1995,Monday 12 December 1994,Man City,Arsenal,Premier League,"Maine Road, Manchester",1,2
1994-1995,Sunday 11 December 1994,Liverpool,Crystal Palace,Premier League,"Anfield, Liverpool",0,0
1994-1995,Saturday 10 December 1994,Aston Villa,Everton,Premier League,"Villa Park, Birmingham",0,0
1994-1995,Saturday 10 December 1994,Blackburn,Southampton,Premier League,"Ewood Park, Blackburn",3,2
1994-1995,Saturday 10 December 1994,Leeds,West Ham,Premier League,"Elland Road, Leeds",2,2
1994-1995,Saturday 10 December 1994,Newcastle,Leicester,Premier League,"St. James' Park, Newcastle",3,1
1994-1995,Saturday 10 December 1994,Norwich,Chelsea,Premier League,"Carrow Road, Norwich",3,0
1994-1995,Saturday 10 December 1994,Nott'm Forest,Ipswich,Premier League,"City Ground, Nottingham",4,1
1994-1995,Saturday 10 December 1994,QPR,Man Utd,Premier League,"Loftus Road, London",2,3
1994-1995,Saturday 10 December 1994,Spurs,Sheffield Wed,Premier League,"White Hart Lane, London",3,1
1994-1995,Saturday 10 December 1994,Wimbledon,Coventry,Premier League,"Selhurst Park, London",2,0
1994-1995,Monday 5 December 1994,Everton,Leeds,Premier League,"Goodison Park, Liverpool",3,0
1994-1995,Sunday 4 December 1994,QPR,West Ham,Premier League,"Loftus Road, London",2,1
1994-1995,Saturday 3 December 1994,Coventry,Liverpool,Premier League,"Highfield Road, Coventry",1,1
1994-1995,Saturday 3 December 1994,Ipswich,Man City,Premier League,"Portman Road, Ipswich",1,2
1994-1995,Saturday 3 December 1994,Leicester,Aston Villa,Premier League,"Filbert Street, Leicester",1,1
1994-1995,Saturday 3 December 1994,Man Utd,Norwich,Premier League,"Old Trafford, Manchester",1,0
1994-1995,Saturday 3 December 1994,Nott'm Forest,Arsenal,Premier League,"City Ground, Nottingham",2,2
1994-1995,Saturday 3 December 1994,Sheffield Wed,Crystal Palace,Premier League,"Hillsborough, Sheffield",1,0
1994-1995,Saturday 3 December 1994,Southampton,Chelsea,Premier League,"The Dell, Southampton",0,1
1994-1995,Saturday 3 December 1994,Spurs,Newcastle,Premier League,"White Hart Lane, London",4,2
1994-1995,Saturday 3 December 1994,Wimbledon,Blackburn,Premier League,"Selhurst Park, London",0,3
1994-1995,Sunday 27 November 1994,Aston Villa,Sheffield Wed,Premier League,"Villa Park, Birmingham",1,1
1994-1995,Saturday 26 November 1994,Arsenal,Man Utd,Premier League,"Highbury, London",0,0
1994-1995,Saturday 26 November 1994,Blackburn,QPR,Premier League,"Ewood Park, Blackburn",4,0
1994-1995,Saturday 26 November 1994,Chelsea,Everton,Premier League,"Stamford Bridge, London",0,1
1994-1995,Saturday 26 November 1994,Crystal Palace,Southampton,Premier League,"Selhurst Park, London",0,0
1994-1995,Saturday 26 November 1994,Leeds,Nott'm Forest,Premier League,"Elland Road, Leeds",1,0
1994-1995,Saturday 26 November 1994,Liverpool,Spurs,Premier League,"Anfield, Liverpool",1,1
1994-1995,Saturday 26 November 1994,Man City,Wimbledon,Premier League,"Maine Road, Manchester",2,0
1994-1995,Saturday 26 November 1994,Newcastle,Ipswich,Premier League,"St. James' Park, Newcastle",1,1
1994-1995,Saturday 26 November 1994,Norwich,Leicester,Premier League,"Carrow Road, Norwich",2,1
1994-1995,Saturday 26 November 1994,West Ham,Coventry,Premier League,"Boleyn Ground, London",0,1
1994-1995,Wednesday 23 November 1994,Leicester,Arsenal,Premier League,"Filbert Street, Leicester",2,1
1994-1995,Wednesday 23 November 1994,Spurs,Chelsea,Premier League,"White Hart Lane, London",0,0
1994-1995,Monday 21 November 1994,Everton,Liverpool,Premier League,"Goodison Park, Liverpool",2,0
1994-1995,Sunday 20 November 1994,Leicester,Man City,Premier League,"Filbert Street, Leicester",0,1
1994-1995,Saturday 19 November 1994,Coventry,Norwich,Premier League,"Highfield Road, Coventry",1,0
1994-1995,Saturday 19 November 1994,Ipswich,Blackburn,Premier League,"Portman Road, Ipswich",1,3
1994-1995,Saturday 19 November 1994,Man Utd,Crystal Palace,Premier League,"Old Trafford, Manchester",3,0
1994-1995,Saturday 19 November 1994,Nott'm Forest,Chelsea,Premier League,"City Ground, Nottingham",0,1
1994-1995,Saturday 19 November 1994,QPR,Leeds,Premier League,"Loftus Road, London",3,2
1994-1995,Saturday 19 November 1994,Sheffield Wed,West Ham,Premier League,"Hillsborough, Sheffield",1,0
1994-1995,Saturday 19 November 1994,Southampton,Arsenal,Premier League,"The Dell, Southampton",1,0
1994-1995,Saturday 19 November 1994,Spurs,Aston Villa,Premier League,"White Hart Lane, London",3,4
1994-1995,Saturday 19 November 1994,Wimbledon,Newcastle,Premier League,"Selhurst Park, London",3,2
1994-1995,Thursday 10 November 1994,Man Utd,Man City,Premier League,"Old Trafford, Manchester",5,0
1994-1995,Wednesday 9 November 1994,Liverpool,Chelsea,Premier League,"Anfield, Liverpool",3,1
1994-1995,Wednesday 9 November 1994,Wimbledon,Aston Villa,Premier League,"Selhurst Park, London",4,3
1994-1995,Monday 7 November 1994,Nott'm Forest,Newcastle,Premier League,"City Ground, Nottingham",0,0
1994-1995,Sunday 6 November 1994,Arsenal,Sheffield Wed,Premier League,"Highbury, London",0,0
1994-1995,Sunday 6 November 1994,Chelsea,Coventry,Premier League,"Stamford Bridge, London",2,2
1994-1995,Sunday 6 November 1994,Aston Villa,Man Utd,Premier League,"Villa Park, Birmingham",1,2
1994-1995,Saturday 5 November 1994,Blackburn,Spurs,Premier League,"Ewood Park, Blackburn",2,0
1994-1995,Saturday 5 November 1994,Crystal Palace,Ipswich,Premier League,"Selhurst Park, London",3,0
1994-1995,Saturday 5 November 1994,Leeds,Wimbledon,Premier League,"Elland Road, Leeds",3,1
1994-1995,Saturday 5 November 1994,Liverpool,Nott'm Forest,Premier League,"Anfield, Liverpool",1,0
1994-1995,Saturday 5 November 1994,Man City,Southampton,Premier League,"Maine Road, Manchester",3,3
1994-1995,Saturday 5 November 1994,Newcastle,QPR,Premier League,"St. James' Park, Newcastle",2,1
1994-1995,Saturday 5 November 1994,Norwich,Everton,Premier League,"Carrow Road, Norwich",0,0
1994-1995,Saturday 5 November 1994,West Ham,Leicester,Premier League,"Boleyn Ground, London",1,0
1994-1995,Wednesday 2 November 1994,Southampton,Norwich,Premier League,"The Dell, Southampton",1,1
1994-1995,Wednesday 2 November 1994,Coventry,Crystal Palace,Premier League,"Highfield Road, Coventry",1,4
1994-1995,Wednesday 2 November 1994,Sheffield Wed,Blackburn,Premier League,"Hillsborough, Sheffield",0,1
1994-1995,Tuesday 1 November 1994,Everton,West Ham,Premier League,"Goodison Park, Liverpool",1,0
1994-1995,Tuesday 1 November 1994,Ipswich,Leeds,Premier League,"Portman Road, Ipswich",2,0
1994-1995,Monday 31 October 1994,QPR,Liverpool,Premier League,"Loftus Road, London",2,1
1994-1995,Sunday 30 October 1994,Wimbledon,Norwich,Premier League,"Selhurst Park, London",1,0
1994-1995,Saturday 29 October 1994,Coventry,Man City,Premier League,"Highfield Road, Coventry",1,0
1994-1995,Saturday 29 October 1994,Everton,Arsenal,Premier League,"Goodison Park, Liverpool",1,1
1994-1995,Saturday 29 October 1994,Ipswich,Liverpool,Premier League,"Portman Road, Ipswich",1,3
1994-1995,Saturday 29 October 1994,Leicester,Crystal Palace,Premier League,"Filbert Street, Leicester",0,1
1994-1995,Saturday 29 October 1994,Man Utd,Newcastle,Premier League,"Old Trafford, Manchester",2,0
1994-1995,Saturday 29 October 1994,Nott'm Forest,Blackburn,Premier League,"City Ground, Nottingham",0,2
1994-1995,Saturday 29 October 1994,QPR,Aston Villa,Premier League,"Loftus Road, London",2,0
1994-1995,Saturday 29 October 1994,Sheffield Wed,Chelsea,Premier League,"Hillsborough, Sheffield",1,1
1994-1995,Saturday 29 October 1994,Southampton,Leeds,Premier League,"The Dell, Southampton",1,3
1994-1995,Saturday 29 October 1994,Spurs,West Ham,Premier League,"White Hart Lane, London",3,1
1994-1995,Monday 24 October 1994,Leeds,Leicester,Premier League,"Elland Road, Leeds",2,1
1994-1995,Sunday 23 October 1994,Arsenal,Coventry,Premier League,"Highbury, London",2,1
1994-1995,Sunday 23 October 1994,Chelsea,Ipswich,Premier League,"Stamford Bridge, London",2,0
1994-1995,Sunday 23 October 1994,Blackburn,Man Utd,Premier League,"Ewood Park, Blackburn",2,4
1994-1995,Saturday 22 October 1994,Aston Villa,Nott'm Forest,Premier League,"Villa Park, Birmingham",0,2
1994-1995,Saturday 22 October 1994,Crystal Palace,Everton,Premier League,"Selhurst Park, London",1,0
1994-1995,Saturday 22 October 1994,Liverpool,Wimbledon,Premier League,"Anfield, Liverpool",3,0
1994-1995,Saturday 22 October 1994,Man City,Spurs,Premier League,"Maine Road, Manchester",5,2
1994-1995,Saturday 22 October 1994,Newcastle,Sheffield Wed,Premier League,"St. James' Park, Newcastle",2,1
1994-1995,Saturday 22 October 1994,Norwich,QPR,Premier League,"Carrow Road, Norwich",4,2
1994-1995,Saturday 22 October 1994,West Ham,Southampton,Premier League,"Boleyn Ground, London",2,0
1994-1995,Monday 17 October 1994,Nott'm Forest,Wimbledon,Premier League,"City Ground, Nottingham",3,1
1994-1995,Sunday 16 October 1994,Ipswich,Sheffield Wed,Premier League,"Portman Road, Ipswich",1,2
1994-1995,Saturday 15 October 1994,Arsenal,Chelsea,Premier League,"Highbury, London",3,1
1994-1995,Saturday 15 October 1994,Aston Villa,Norwich,Premier League,"Villa Park, Birmingham",1,1
1994-1995,Saturday 15 October 1994,Blackburn,Liverpool,Premier League,"Ewood Park, Blackburn",3,2
1994-1995,Saturday 15 October 1994,Crystal Palace,Newcastle,Premier League,"Selhurst Park, London",0,1
1994-1995,Saturday 15 October 1994,Everton,Coventry,Premier League,"Goodison Park, Liverpool",0,2
1994-1995,Saturday 15 October 1994,Leeds,Spurs,Premier League,"Elland Road, Leeds",1,1
1994-1995,Saturday 15 October 1994,Leicester,Southampton,Premier League,"Filbert Street, Leicester",4,3
1994-1995,Saturday 15 October 1994,Man Utd,West Ham,Premier League,"Old Trafford, Manchester",1,0
1994-1995,Saturday 15 October 1994,QPR,Man City,Premier League,"Loftus Road, London",1,2
1994-1995,Monday 10 October 1994,Coventry,Ipswich,Premier League,"Highfield Road, Coventry",2,0
1994-1995,Sunday 9 October 1994,Newcastle,Blackburn,Premier League,"St. James' Park, Newcastle",1,1
1994-1995,Saturday 8 October 1994,Chelsea,Leicester,Premier League,"Stamford Bridge, London",4,0
1994-1995,Saturday 8 October 1994,Liverpool,Aston Villa,Premier League,"Anfield, Liverpool",3,2
1994-1995,Saturday 8 October 1994,Man City,Nott'm Forest,Premier League,"Maine Road, Manchester",3,3
1994-1995,Saturday 8 October 1994,Norwich,Leeds,Premier League,"Carrow Road, Norwich",2,1
1994-1995,Saturday 8 October 1994,Sheffield Wed,Man Utd,Premier League,"Hillsborough, Sheffield",1,0
1994-1995,Saturday 8 October 1994,Southampton,Everton,Premier League,"The Dell, Southampton",2,0
1994-1995,Saturday 8 October 1994,Spurs,QPR,Premier League,"White Hart Lane, London",1,1
1994-1995,Saturday 8 October 1994,West Ham,Crystal Palace,Premier League,"Boleyn Ground, London",1,0
1994-1995,Saturday 8 October 1994,Wimbledon,Arsenal,Premier League,"Selhurst Park, London",1,3
1994-1995,Monday 3 October 1994,Leicester,Coventry,Premier League,"Filbert Street, Leicester",2,2
1994-1995,Sunday 2 October 1994,Chelsea,West Ham,Premier League,"Stamford Bridge, London",1,2
1994-1995,Sunday 2 October 1994,Nott'm Forest,QPR,Premier League,"City Ground, Nottingham",3,2
1994-1995,Saturday 1 October 1994,Arsenal,Crystal Palace,Premier League,"Highbury, London",1,2
1994-1995,Saturday 1 October 1994,Aston Villa,Newcastle,Premier League,"Villa Park, Birmingham",0,2
1994-1995,Saturday 1 October 1994,Leeds,Man City,Premier League,"Elland Road, Leeds",2,0
1994-1995,Saturday 1 October 1994,Liverpool,Sheffield Wed,Premier League,"Anfield, Liverpool",4,1
1994-1995,Saturday 1 October 1994,Man Utd,Everton,Premier League,"Old Trafford, Manchester",2,0
1994-1995,Saturday 1 October 1994,Norwich,Blackburn,Premier League,"Carrow Road, Norwich",2,1
1994-1995,Saturday 1 October 1994,Southampton,Ipswich,Premier League,"The Dell, Southampton",3,1
1994-1995,Saturday 1 October 1994,Wimbledon,Spurs,Premier League,"Selhurst Park, London",1,2
1994-1995,Monday 26 September 1994,Sheffield Wed,Leeds,Premier League,"Hillsborough, Sheffield",1,1
1994-1995,Sunday 25 September 1994,West Ham,Arsenal,Premier League,"Boleyn Ground, London",0,2
1994-1995,Saturday 24 September 1994,Blackburn,Aston Villa,Premier League,"Ewood Park, Blackburn",3,1
1994-1995,Saturday 24 September 1994,Coventry,Southampton,Premier League,"Highfield Road, Coventry",1,3
1994-1995,Saturday 24 September 1994,Crystal Palace,Chelsea,Premier League,"Selhurst Park, London",0,1
1994-1995,Saturday 24 September 1994,Everton,Leicester,Premier League,"Goodison Park, Liverpool",1,1
1994-1995,Saturday 24 September 1994,Ipswich,Man Utd,Premier League,"Portman Road, Ipswich",3,2
1994-1995,Saturday 24 September 1994,Man City,Norwich,Premier League,"Maine Road, Manchester",2,0
1994-1995,Saturday 24 September 1994,Newcastle,Liverpool,Premier League,"St. James' Park, Newcastle",1,1
1994-1995,Saturday 24 September 1994,QPR,Wimbledon,Premier League,"Loftus Road, London",0,1
1994-1995,Saturday 24 September 1994,Spurs,Nott'm Forest,Premier League,"White Hart Lane, London",1,4
1994-1995,Monday 19 September 1994,Ipswich,Norwich,Premier League,"Portman Road, Ipswich",1,2
1994-1995,Sunday 18 September 1994,Arsenal,Newcastle,Premier League,"Highbury, London",2,3
1994-1995,Sunday 18 September 1994,Chelsea,Blackburn,Premier League,"Stamford Bridge, London",1,2
1994-1995,Saturday 17 September 1994,Coventry,Leeds,Premier League,"Highfield Road, Coventry",2,1
1994-1995,Saturday 17 September 1994,Crystal Palace,Wimbledon,Premier League,"Selhurst Park, London",0,0
1994-1995,Saturday 17 September 1994,Everton,QPR,Premier League,"Goodison Park, Liverpool",2,2
1994-1995,Saturday 17 September 1994,Leicester,Spurs,Premier League,"Filbert Street, Leicester",3,1
